owner_official,official_name,descriptor,named_name,confidence,notes
com/corrodinggames/rts/game/units/custom/j,D,(I)Lcom/corrodinggames/rts/gameFramework/utility/ai;,getTurretMuzzlePoint3D,high,Returns muzzle world point with height; CustomUnit applies barrel offsets and barrelHeight.
com/corrodinggames/rts/game/units/y,D,(I)Lcom/corrodinggames/rts/gameFramework/utility/ai;,getTurretMuzzlePoint3D,high,Returns muzzle world point with height; CustomUnit applies barrel offsets and barrelHeight.
com/corrodinggames/rts/game/units/b/d,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/b/e,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/custom/j,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/a/a,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/a/b,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/c,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/p,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/q,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/d/r,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/h/d,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/y,E,(I)Landroid/graphics/PointF;,getTurretMuzzlePoint,high,2D wrapper around getTurretMuzzlePoint3D; used by projectile creation and warmup effects.
com/corrodinggames/rts/game/units/custom/j,F,(I)Lcom/corrodinggames/rts/gameFramework/utility/ai;,getTurretBasePoint3D,high,Returns turret base/world point with height before muzzle/barrel forward offset.
com/corrodinggames/rts/game/units/y,F,(I)Lcom/corrodinggames/rts/gameFramework/utility/ai;,getTurretBasePoint3D,high,Returns turret base/world point with height before muzzle/barrel forward offset.
com/corrodinggames/rts/game/units/b/c,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/custom/j,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/d/a/b,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/e/c,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/e/d,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/h/a,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/h/b,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/y,G,(I)Landroid/graphics/PointF;,getTurretWorldPoint,high,Existing CustomUnit name propagated to full override family; base turret/world point for rendering and muzzle calculations.
com/corrodinggames/rts/game/units/custom/j,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/d/a/b,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/e/d,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/e/f,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/h/a,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/y,H,(I)F,getTurretRecoilOffset,high,Returns recoilOffset; CustomUnit reads TurretTemplate.recoilOffset.
com/corrodinggames/rts/game/units/custom/j,I,(I)F,getTurretRecoilOutTime,high,Returns recoilOutTime; CustomUnit reads TurretTemplate.recoilOutTime.
com/corrodinggames/rts/game/units/e/d,I,(I)F,getTurretRecoilOutTime,high,Returns recoilOutTime; CustomUnit reads TurretTemplate.recoilOutTime.
com/corrodinggames/rts/game/units/e/f,I,(I)F,getTurretRecoilOutTime,high,Returns recoilOutTime; CustomUnit reads TurretTemplate.recoilOutTime.
com/corrodinggames/rts/game/units/h/a,I,(I)F,getTurretRecoilOutTime,high,Returns recoilOutTime; CustomUnit reads TurretTemplate.recoilOutTime.
com/corrodinggames/rts/game/units/y,I,(I)F,getTurretRecoilOutTime,high,Returns recoilOutTime; CustomUnit reads TurretTemplate.recoilOutTime.
com/corrodinggames/rts/game/units/custom/j,J,(I)F,getTurretRecoilReturnTime,high,Returns recoilReturnTime; CustomUnit reads TurretTemplate.recoilReturnTime.
com/corrodinggames/rts/game/units/e/d,J,(I)F,getTurretRecoilReturnTime,high,Returns recoilReturnTime; CustomUnit reads TurretTemplate.recoilReturnTime.
com/corrodinggames/rts/game/units/e/f,J,(I)F,getTurretRecoilReturnTime,high,Returns recoilReturnTime; CustomUnit reads TurretTemplate.recoilReturnTime.
com/corrodinggames/rts/game/units/h/a,J,(I)F,getTurretRecoilReturnTime,high,Returns recoilReturnTime; CustomUnit reads TurretTemplate.recoilReturnTime.
com/corrodinggames/rts/game/units/y,J,(I)F,getTurretRecoilReturnTime,high,Returns recoilReturnTime; CustomUnit reads TurretTemplate.recoilReturnTime.
com/corrodinggames/rts/game/units/custom/j,L,(I)F,getTurretAimOffsetSpread,high,Returns aimOffsetSpread; used by randomizeTurretShotSpreadOffset after firing.
com/corrodinggames/rts/game/units/e/c,L,(I)F,getTurretAimOffsetSpread,high,Returns aimOffsetSpread; used by randomizeTurretShotSpreadOffset after firing.
com/corrodinggames/rts/game/units/y,L,(I)F,getTurretAimOffsetSpread,high,Returns aimOffsetSpread; used by randomizeTurretShotSpreadOffset after firing.
com/corrodinggames/rts/game/units/custom/j,K,(I)Landroid/graphics/PointF;,getTurretShotSpreadOffset,medium-high,Returns per-turret shot/beam offset derived from TurretRuntimeState spread offsets; CustomUnit can add beam/laser locked projectile offset.
com/corrodinggames/rts/game/units/e/c,K,(I)Landroid/graphics/PointF;,getTurretShotSpreadOffset,medium-high,Returns per-turret shot/beam offset derived from TurretRuntimeState spread offsets; CustomUnit can add beam/laser locked projectile offset.
com/corrodinggames/rts/game/units/y,K,(I)Landroid/graphics/PointF;,getTurretShotSpreadOffset,medium-high,Returns per-turret shot/beam offset derived from TurretRuntimeState spread offsets; CustomUnit can add beam/laser locked projectile offset.
com/corrodinggames/rts/game/units/d/a/b,M,(I)V,randomizeTurretShotSpreadOffset,medium-high,Called after fireTurretAtTarget; randomizes TurretRuntimeState shot spread offset using getTurretAimOffsetSpread.
com/corrodinggames/rts/game/units/y,M,(I)V,randomizeTurretShotSpreadOffset,medium-high,Called after fireTurretAtTarget; randomizes TurretRuntimeState shot spread offset using getTurretAimOffsetSpread.
