pc_official,android_official,intermediary,named,confidence,source,reason,scope
com/corrodinggames/rts/game/units/b/b,com/corrodinggames/rts/game/units/b/b,rw/unit/air/AirUnitBase,rustedwarfare/unit/air/AirUnitBase,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/c,com/corrodinggames/rts/game/units/b/c,rw/unit/air/AmphibiousJetUnit,rustedwarfare/unit/air/AmphibiousJetUnit,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/c$1,com/corrodinggames/rts/game/units/b/d,rw/unit/action/internal/Obf_b_c_1,rustedwarfare/unit/action/internal/Obf_b_c_1,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/c$2,com/corrodinggames/rts/game/units/b/e,rw/unit/action/internal/Obf_b_c_2,rustedwarfare/unit/action/internal/Obf_b_c_2,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/d,com/corrodinggames/rts/game/units/b/f,rw/unit/air/DropshipUnit,rustedwarfare/unit/air/DropshipUnit,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/d$1,com/corrodinggames/rts/game/units/b/g,rw/unit/action/internal/Obf_b_d_1,rustedwarfare/unit/action/internal/Obf_b_d_1,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/d$2,com/corrodinggames/rts/game/units/b/h,rw/unit/action/internal/Obf_b_d_2,rustedwarfare/unit/action/internal/Obf_b_d_2,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/b/e,com/corrodinggames/rts/game/units/b/i,rw/unit/air/GunshipUnit,rustedwarfare/unit/air/GunshipUnit,medium,structural_match,iterative_hungarian: iteration 2; relation signals 2,common_core
com/corrodinggames/rts/game/units/b/f,com/corrodinggames/rts/game/units/b/j,rw/unit/air/HelicopterUnit,rustedwarfare/unit/air/HelicopterUnit,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/units/c,com/corrodinggames/rts/game/units/c,rw/v100/unit/UnitBase,rustedwarfare/unit/UnitBase,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/c/a,com/corrodinggames/rts/game/units/c/a,rw/unit/land/LadybugUnit,rustedwarfare/unit/land/LadybugUnit,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a,com/corrodinggames/rts/game/units/custom/a,rw/custom/animation/AnimationKeyframe,rustedwarfare/custom/animation/AnimationKeyframe,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a,com/corrodinggames/rts/game/units/custom/a/a,rustedwarfare/custom/action/effect/CustomActionEffect,rustedwarfare/custom/action/effect/CustomActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/a,com/corrodinggames/rts/game/units/custom/a/a/a,rw/custom/action/effect/ResourceModificationActionEffect,rustedwarfare/custom/action/effect/ResourceModificationActionEffect,medium,anchor_bounded_sequence,monotonic package sequence; bounded=false; anchors=13,common_core
com/corrodinggames/rts/game/units/custom/a/a/b,com/corrodinggames/rts/game/units/custom/a/a/b,rw/custom/action/effect/WaypointActionEffect,rustedwarfare/custom/action/effect/WaypointActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/c,com/corrodinggames/rts/game/units/custom/a/a/c,rustedwarfare/custom/action/effect/WaypointUnitSearchCallback,rustedwarfare/custom/action/effect/WaypointUnitSearchCallback,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/d,com/corrodinggames/rts/game/units/custom/a/a/d,rw/custom/action/effect/AnimationActionEffect,rustedwarfare/custom/action/effect/AnimationActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/e,com/corrodinggames/rts/game/units/custom/a/a/e,rw/custom/action/effect/AttachmentActionEffect,rustedwarfare/custom/action/effect/AttachmentActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/f,com/corrodinggames/rts/game/units/custom/a/a/f,rw/custom/action/effect/MessageActionEffect,rustedwarfare/custom/action/effect/MessageActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/g,com/corrodinggames/rts/game/units/custom/a/a/g,rw/custom/action/effect/ResourceConversionActionEffect,rustedwarfare/custom/action/effect/ResourceConversionActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/h,com/corrodinggames/rts/game/units/custom/a/a/h,rw/custom/action/effect/MemoryAndTargetActionEffect,rustedwarfare/custom/action/effect/MemoryAndTargetActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/i,com/corrodinggames/rts/game/units/custom/a/a/i,rw/custom/action/effect/SendMessageActionEffect,rustedwarfare/custom/action/effect/SendMessageActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/j,com/corrodinggames/rts/game/units/custom/a/a/j,rw/custom/action/effect/SelfMutationActionEffect,rustedwarfare/custom/action/effect/SelfMutationActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/k,com/corrodinggames/rts/game/units/custom/a/a/k,rw/custom/action/effect/SpawnUnitsActionEffect,rustedwarfare/custom/action/effect/SpawnUnitsActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/l,com/corrodinggames/rts/game/units/custom/a/a/l,rw/custom/action/effect/TagModificationActionEffect,rustedwarfare/custom/action/effect/TagModificationActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/m,com/corrodinggames/rts/game/units/custom/a/a/m,rw/custom/action/effect/TakeResourcesActionEffect,rustedwarfare/custom/action/effect/TakeResourcesActionEffect,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/n,com/corrodinggames/rts/game/units/custom/a/a/n,rw/custom/action/effect/TakeResourcesSearchCallback,rustedwarfare/custom/action/effect/TakeResourcesSearchCallback,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/a/o,com/corrodinggames/rts/game/units/custom/a/a/o,rw/custom/action/effect/TransportActionEffect,rustedwarfare/custom/action/effect/TransportActionEffect,medium,anchor_bounded_sequence,monotonic package sequence; bounded=false; anchors=13,common_core
com/corrodinggames/rts/game/units/custom/a/b,com/corrodinggames/rts/game/units/custom/a/b,rw/custom/action/ActionCostOverrideFilter,rustedwarfare/custom/action/ActionCostOverrideFilter,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/c,com/corrodinggames/rts/game/units/custom/a/c,rw/custom/action/CustomActionAvailabilityFilter,rustedwarfare/custom/action/CustomActionAvailabilityFilter,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/d,com/corrodinggames/rts/game/units/custom/a/d,rw/custom/action/CustomActionConfig,rustedwarfare/custom/action/CustomActionConfig,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/e,com/corrodinggames/rts/game/units/custom/a/e,rustedwarfare/custom/action/CustomActionAiUse,rustedwarfare/custom/action/CustomActionAiUse,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/f,com/corrodinggames/rts/game/units/custom/a/f,rustedwarfare/custom/action/CustomActionType,rustedwarfare/custom/action/CustomActionType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/a/g,com/corrodinggames/rts/game/units/custom/a/g,rw/custom/action/CustomAction,rustedwarfare/custom/action/CustomAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/aa,com/corrodinggames/rts/game/units/custom/aa,rustedwarfare/custom/metadata/WatchedCustomUnitFile,rustedwarfare/custom/metadata/WatchedCustomUnitFile,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ab,com/corrodinggames/rts/game/units/custom/ab,rw/custom/sync/RequiredUnitMismatchReport,rustedwarfare/custom/sync/RequiredUnitMismatchReport,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ac,com/corrodinggames/rts/game/units/custom/ac,rw/custom/sync/ModUnitAvailabilityCounts,rustedwarfare/custom/sync/ModUnitAvailabilityCounts,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ad,com/corrodinggames/rts/game/units/custom/ad,rw/custom/spawn/OnNewMapSpawnMode,rustedwarfare/custom/spawn/OnNewMapSpawnMode,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ae,com/corrodinggames/rts/game/units/custom/ae,rw/custom/event/CustomUnitEventAction,rustedwarfare/custom/event/CustomUnitEventAction,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/af,com/corrodinggames/rts/game/units/custom/af,rw/custom/event/CustomUnitEventType,rustedwarfare/custom/event/CustomUnitEventType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ag,com/corrodinggames/rts/game/units/custom/ag,rw/custom/CustomUnitLoader,rustedwarfare/custom/CustomUnitLoader,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ah,com/corrodinggames/rts/game/units/custom/ah,rw/custom/CustomUnitLoadTimingPhase,rustedwarfare/custom/CustomUnitLoadTimingPhase,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ai,com/corrodinggames/rts/game/units/custom/ai,rw/custom/event/AutoTriggerEventSpec,rustedwarfare/custom/event/AutoTriggerEventSpec,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/aj,com/corrodinggames/rts/game/units/custom/aj,rw/custom/LocalizedString,rustedwarfare/custom/LocalizedString,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ak,com/corrodinggames/rts/game/units/custom/ak,rw/custom/text/DynamicTextResolver,rustedwarfare/custom/text/DynamicTextResolver,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/al,com/corrodinggames/rts/game/units/custom/al,rw/custom/text/ArrayLogicTextResolver,rustedwarfare/custom/text/ArrayLogicTextResolver,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/am,com/corrodinggames/rts/game/units/custom/am,rw/custom/text/BooleanLogicTextResolver,rustedwarfare/custom/text/BooleanLogicTextResolver,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/an,com/corrodinggames/rts/game/units/custom/an,rw/custom/text/NumberLogicTextResolver,rustedwarfare/custom/text/NumberLogicTextResolver,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ao,com/corrodinggames/rts/game/units/custom/ao,rw/custom/text/StringLogicTextResolver,rustedwarfare/custom/text/StringLogicTextResolver,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ap,com/corrodinggames/rts/game/units/custom/ap,rw/custom/text/UnitLogicTextResolver,rustedwarfare/custom/text/UnitLogicTextResolver,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/aq,com/corrodinggames/rts/game/units/custom/aq,rw/custom/text/LogicBooleanTextResolver,rustedwarfare/custom/text/LogicBooleanTextResolver,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/ar,com/corrodinggames/rts/game/units/custom/ar,rw/custom/text/StaticTextResolver,rustedwarfare/custom/text/StaticTextResolver,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/as,com/corrodinggames/rts/game/units/custom/as,rw/custom/MutableUnitStats,rustedwarfare/custom/MutableUnitStats,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/as$1,com/corrodinggames/rts/game/units/custom/at,rw/custom/stats/MutableStatAccessor$Mass,rustedwarfare/custom/stats/MutableStatAccessor$Mass,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$10,com/corrodinggames/rts/game/units/custom/bc,rw/custom/stats/MutableStatAccessor$TargetHeight,rustedwarfare/custom/stats/MutableStatAccessor$TargetHeight,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$11,com/corrodinggames/rts/game/units/custom/bd,rw/custom/stats/MutableStatAccessor$NanoFactorySpeed,rustedwarfare/custom/stats/MutableStatAccessor$NanoFactorySpeed,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$12,com/corrodinggames/rts/game/units/custom/be,rw/custom/stats/MutableStatAccessor$MaxEnergy,rustedwarfare/custom/stats/MutableStatAccessor$MaxEnergy,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$13,com/corrodinggames/rts/game/units/custom/bf,rw/custom/stats/MutableStatAccessor$MaxEnergyRuntime,rustedwarfare/custom/stats/MutableStatAccessor$MaxEnergyRuntime,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$14,com/corrodinggames/rts/game/units/custom/bg,rw/custom/stats/MutableStatAccessor$MaxHp,rustedwarfare/custom/stats/MutableStatAccessor$MaxHp,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$15,com/corrodinggames/rts/game/units/custom/bh,rw/custom/stats/MutableStatAccessor$MaxHpRuntime,rustedwarfare/custom/stats/MutableStatAccessor$MaxHpRuntime,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$16,com/corrodinggames/rts/game/units/custom/bi,rw/custom/stats/MutableStatAccessor$MaxShield,rustedwarfare/custom/stats/MutableStatAccessor$MaxShield,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$17,com/corrodinggames/rts/game/units/custom/bj,rw/custom/stats/MutableStatAccessor$MaxShieldRuntime,rustedwarfare/custom/stats/MutableStatAccessor$MaxShieldRuntime,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$18,com/corrodinggames/rts/game/units/custom/bk,rw/custom/stats/MutableStatAccessor$ShieldRegen,rustedwarfare/custom/stats/MutableStatAccessor$ShieldRegen,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$19,com/corrodinggames/rts/game/units/custom/bl,rw/custom/stats/MutableStatAccessor$Armour,rustedwarfare/custom/stats/MutableStatAccessor$Armour,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$2,com/corrodinggames/rts/game/units/custom/au,rw/custom/stats/MutableStatAccessor$MaxAttackRange,rustedwarfare/custom/stats/MutableStatAccessor$MaxAttackRange,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$3,com/corrodinggames/rts/game/units/custom/av,rw/custom/stats/MutableStatAccessor$ShootDelayMultiplier,rustedwarfare/custom/stats/MutableStatAccessor$ShootDelayMultiplier,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$4,com/corrodinggames/rts/game/units/custom/aw,rw/custom/stats/MutableStatAccessor$ShootDamageMultiplier,rustedwarfare/custom/stats/MutableStatAccessor$ShootDamageMultiplier,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$5,com/corrodinggames/rts/game/units/custom/ax,rw/custom/stats/MutableStatAccessor$MoveSpeed,rustedwarfare/custom/stats/MutableStatAccessor$MoveSpeed,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$6,com/corrodinggames/rts/game/units/custom/ay,rw/custom/stats/MutableStatAccessor$MaxTurnSpeed,rustedwarfare/custom/stats/MutableStatAccessor$MaxTurnSpeed,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$7,com/corrodinggames/rts/game/units/custom/az,rw/custom/stats/MutableStatAccessor$FogOfWarSightRange,rustedwarfare/custom/stats/MutableStatAccessor$FogOfWarSightRange,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$8,com/corrodinggames/rts/game/units/custom/ba,rw/custom/stats/MutableStatAccessor$NanoRange,rustedwarfare/custom/stats/MutableStatAccessor$NanoRange,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/as$9,com/corrodinggames/rts/game/units/custom/bb,rw/custom/stats/MutableStatAccessor$SelfRegenRate,rustedwarfare/custom/stats/MutableStatAccessor$SelfRegenRate,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/at,com/corrodinggames/rts/game/units/custom/bm,rw/custom/stats/MutableStatAccessor,rustedwarfare/custom/stats/MutableStatAccessor,medium,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/au,com/corrodinggames/rts/game/units/custom/bn,rustedwarfare/custom/stats/MutableStatWriterFactory,rustedwarfare/custom/stats/MutableStatWriterFactory,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/av,com/corrodinggames/rts/game/units/custom/bo,rustedwarfare/custom/stats/MutableStatCachedWriterElement,rustedwarfare/custom/stats/MutableStatCachedWriterElement,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/units/custom/aw,com/corrodinggames/rts/game/units/custom/bp,rustedwarfare/custom/stats/MetadataMutableStatAccessor,rustedwarfare/custom/stats/MetadataMutableStatAccessor,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/ax,com/corrodinggames/rts/game/units/custom/bq,rustedwarfare/custom/stats/RuntimeMutableStatAccessor,rustedwarfare/custom/stats/RuntimeMutableStatAccessor,high,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/ay,com/corrodinggames/rts/game/units/custom/br,rw/custom/EffectTemplate,rustedwarfare/custom/EffectTemplate,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/az,com/corrodinggames/rts/game/units/custom/bs,rw/custom/effect/BuiltInEffectType,rustedwarfare/custom/effect/BuiltInEffectType,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b,com/corrodinggames/rts/game/units/custom/b,rw/custom/animation/AnimationEventKeyframe,rustedwarfare/custom/animation/AnimationEventKeyframe,medium,anchor_bounded_sequence,monotonic package sequence; bounded=true; anchors=53,common_core
com/corrodinggames/rts/game/units/custom/b/a,com/corrodinggames/rts/game/units/custom/b/a,rw/custom/runtime/CustomUnitBehavior,rustedwarfare/custom/runtime/CustomUnitBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/b,com/corrodinggames/rts/game/units/custom/b/b,rw/custom/runtime/AutoRepairBehavior,rustedwarfare/custom/runtime/AutoRepairBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/c,com/corrodinggames/rts/game/units/custom/b/c,rw/custom/graphics/DecalBehavior,rustedwarfare/custom/graphics/DecalBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/d,com/corrodinggames/rts/game/units/custom/b/d,rw/custom/graphics/DecalTemplate,rustedwarfare/custom/graphics/DecalTemplate,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/e,com/corrodinggames/rts/game/units/custom/b/e,rw/custom/graphics/DecalImageFrame,rustedwarfare/custom/graphics/DecalImageFrame,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/f,com/corrodinggames/rts/game/units/custom/b/f,rw/custom/graphics/DecalLayer,rustedwarfare/custom/graphics/DecalLayer,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/g,com/corrodinggames/rts/game/units/custom/b/g,rw/custom/graphics/DecalReference,rustedwarfare/custom/graphics/DecalReference,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/h,com/corrodinggames/rts/game/units/custom/b/h,rw/custom/runtime/LegAnimationBehavior,rustedwarfare/custom/runtime/LegAnimationBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/i,com/corrodinggames/rts/game/units/custom/b/i,rw/custom/runtime/LegRuntimeState,rustedwarfare/custom/runtime/LegRuntimeState,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/j,com/corrodinggames/rts/game/units/custom/b/j,rw/custom/runtime/RepelFromUnitsBehavior,rustedwarfare/custom/runtime/RepelFromUnitsBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/k,com/corrodinggames/rts/game/units/custom/b/k,rw/custom/runtime/TurretProjectileBehavior,rustedwarfare/custom/runtime/TurretProjectileBehavior,high,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/units/custom/b/l,com/corrodinggames/rts/game/units/custom/b/l,rw/custom/runtime/RandomMovementBehavior,rustedwarfare/custom/runtime/RandomMovementBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/m,com/corrodinggames/rts/game/units/custom/b/m,rw/custom/attachment/AttachmentBehavior,rustedwarfare/custom/attachment/AttachmentBehavior,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/b/n,com/corrodinggames/rts/game/units/custom/b/n,rw/custom/attachment/AttachmentSlot,rustedwarfare/custom/attachment/AttachmentSlot,high,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/units/custom/ba,com/corrodinggames/rts/game/units/custom/bt,rw/custom/LegOrArmTemplate,rustedwarfare/custom/LegOrArmTemplate,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bb,com/corrodinggames/rts/game/units/custom/bu,rw/custom/LocalizedStringData,rustedwarfare/custom/LocalizedStringData,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bc,com/corrodinggames/rts/game/units/custom/bv,rw/custom/LocalizedStringEntry,rustedwarfare/custom/LocalizedStringEntry,medium,structural_match,iterative_hungarian: iteration 1; relation signals 1,common_core
com/corrodinggames/rts/game/units/custom/bd,com/corrodinggames/rts/game/units/custom/bw,rw/custom/LocalizedStringParseException,rustedwarfare/custom/LocalizedStringParseException,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/be,com/corrodinggames/rts/game/units/custom/bx,rw/custom/placement/PlacementRuleParser,rustedwarfare/custom/placement/PlacementRuleParser,medium,structural_match,iterative_hungarian: iteration 1; relation signals 2,common_core
com/corrodinggames/rts/game/units/custom/bf,com/corrodinggames/rts/game/units/custom/by,rw/custom/placement/PlacementRuleSearchCallback,rustedwarfare/custom/placement/PlacementRuleSearchCallback,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bg,com/corrodinggames/rts/game/units/custom/bz,rw/custom/placement/PlacementRule,rustedwarfare/custom/placement/PlacementRule,high,manual_residual_closure,mapped caller reference flow 28; exact 16-field placement-rule layout,common_cross_build_residual
com/corrodinggames/rts/game/units/custom/bh,com/corrodinggames/rts/game/units/custom/ca,rw/custom/CustomProjectileTemplate,rustedwarfare/custom/CustomProjectileTemplate,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bi,com/corrodinggames/rts/game/units/custom/cb,rw/custom/spawn/ProjectileSpawnList,rustedwarfare/custom/spawn/ProjectileSpawnList,medium,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bj,com/corrodinggames/rts/game/units/custom/cc,rw/custom/spawn/ProjectileSpawnSearchCallback,rustedwarfare/custom/spawn/ProjectileSpawnSearchCallback,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bk,com/corrodinggames/rts/game/units/custom/cd,rw/custom/spawn/ProjectileSpawnEntry,rustedwarfare/custom/spawn/ProjectileSpawnEntry,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bl,com/corrodinggames/rts/game/units/custom/ce,rw/custom/SoundEffectList,rustedwarfare/custom/SoundEffectList,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bm,com/corrodinggames/rts/game/units/custom/cf,rw/custom/SoundEffectEntry,rustedwarfare/custom/SoundEffectEntry,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bn,com/corrodinggames/rts/game/units/custom/cg,rw/custom/TurretTemplate,rustedwarfare/custom/TurretTemplate,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bo,com/corrodinggames/rts/game/units/custom/ch,rw/custom/CustomUnitConfigException,rustedwarfare/custom/CustomUnitConfigException,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bp,com/corrodinggames/rts/game/units/custom/ci,rw/custom/spawn/SpawnUnitList,rustedwarfare/custom/spawn/SpawnUnitList,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
com/corrodinggames/rts/game/units/custom/bq,com/corrodinggames/rts/game/units/custom/cj,rw/custom/spawn/SpawnUnitEntry,rustedwarfare/custom/spawn/SpawnUnitEntry,high,structural_match,mutual_base: mutual-best structural fingerprint,common_core
