domain,ini_key,owner_official,field_official,descriptor,field_named,mapping_source,evidence
turret_,interceptProjectiles_andOverHeight,com/corrodinggames/rts/game/units/custom/bn,an,F,interceptProjectilesAndOverHeight,v0.9-base,javap bn.javap.txt line 1622: key string within 22 lines before putfield
turret_,shouldResetTurret,com/corrodinggames/rts/game/units/custom/bn,aq,Z,shouldResetTurret,v0.9-base,javap bn.javap.txt line 1632: key string within 22 lines before putfield
turret_,idleSpin,com/corrodinggames/rts/game/units/custom/bn,ar,F,idleSpin,v0.9-base,javap bn.javap.txt line 1642: key string within 22 lines before putfield
turret_,idleSweepAngle,com/corrodinggames/rts/game/units/custom/bn,as,F,idleSweepAngle,v0.9-base,javap bn.javap.txt line 1652: key string within 22 lines before putfield
turret_,idleSweepDelay,com/corrodinggames/rts/game/units/custom/bn,at,F,idleSweepDelay,v0.9-base,javap bn.javap.txt line 1662: key string within 22 lines before putfield
turret_,idleSweepSpeed,com/corrodinggames/rts/game/units/custom/bn,au,F,idleSweepSpeed,v0.9-base,javap bn.javap.txt line 1672: key string within 22 lines before putfield
turret_,idleSweepCondition,com/corrodinggames/rts/game/units/custom/bn,av,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,idleSweepCondition,v0.9-base,javap bn.javap.txt line 1681: key string within 22 lines before putfield
turret_,idleSweepAddRandomDelay,com/corrodinggames/rts/game/units/custom/bn,aw,F,idleSweepAddRandomDelay,v0.9-base,javap bn.javap.txt line 1696: key string within 22 lines before putfield
turret_,idleSweepAddRandomAngle,com/corrodinggames/rts/game/units/custom/bn,ax,F,idleSweepAddRandomAngle,v0.9-base,javap bn.javap.txt line 1731: key string within 22 lines before putfield
turret_,clearTurretTargetAfterFiring,com/corrodinggames/rts/game/units/custom/bn,ay,Z,clearTurretTargetAfterFiring,v0.9-base,javap bn.javap.txt line 1779: key string within 22 lines before putfield
turret_,onShoot_playAnimation,com/corrodinggames/rts/game/units/custom/bn,aA,Lcom/corrodinggames/rts/game/units/custom/o;,onShootPlayAnimation,v0.9-base,javap bn.javap.txt line 1790: key string within 22 lines before putfield
turret_,onShoot_freezeBodyMovementFor,com/corrodinggames/rts/game/units/custom/bn,aB,F,onShootFreezeBodyMovementFor,v0.9-base,javap bn.javap.txt line 1800: key string within 22 lines before putfield
turret_,onShoot_triggerActions,com/corrodinggames/rts/game/units/custom/bn,aC,Lcom/corrodinggames/rts/game/units/custom/u;,onShootTriggerActions,v0.9-base,javap bn.javap.txt line 1809: key string within 22 lines before putfield
turret_,image,com/corrodinggames/rts/game/units/custom/bn,aD,Lcom/corrodinggames/rts/gameFramework/m/e;,image,v0.17-java-authoring-contract,javap bn.javap.txt line 1831: key string within 22 lines before putfield
turret_,image_applyTeamColors,com/corrodinggames/rts/game/units/custom/bn,aE,[Lcom/corrodinggames/rts/gameFramework/m/e;,images,v0.17-java-authoring-contract,javap bn.javap.txt line 1855: key string within 22 lines before putfield
turret_,image_drawOffsetX,com/corrodinggames/rts/game/units/custom/bn,aG,F,imageDrawOffsetX,v0.9-base,javap bn.javap.txt line 1869: key string within 22 lines before putfield
turret_,image_drawOffsetY,com/corrodinggames/rts/game/units/custom/bn,aH,F,imageDrawOffsetY,v0.9-base,javap bn.javap.txt line 1879: key string within 22 lines before putfield
turret_,chargeEffectImage,com/corrodinggames/rts/game/units/custom/bn,aF,Lcom/corrodinggames/rts/gameFramework/m/e;,chargeEffectImage,v0.17-java-authoring-contract,javap bn.javap.txt line 1890: key string within 22 lines before putfield
effect_,createWhenOffscreen,com/corrodinggames/rts/game/units/custom/ay,createWhenOffscreen,Z,createWhenOffscreen,v0.9-base,javap ay.javap.txt line 1299: key string within 22 lines before putfield
effect_,createWhenZoomedOut,com/corrodinggames/rts/game/units/custom/ay,createWhenZoomedOut,Z,createWhenZoomedOut,v0.9-base,javap ay.javap.txt line 1308: key string within 22 lines before putfield
effect_,createWhenOverLiquid,com/corrodinggames/rts/game/units/custom/ay,createWhenOverLiquid,Z,createWhenOverLiquid,v0.9-base,javap ay.javap.txt line 1317: key string within 22 lines before putfield
effect_,createWhenOverLand,com/corrodinggames/rts/game/units/custom/ay,createWhenOverLand,Z,createWhenOverLand,v0.9-base,javap ay.javap.txt line 1326: key string within 22 lines before putfield
effect_,spawnChance,com/corrodinggames/rts/game/units/custom/ay,spawnChance,F,spawnChance,v0.9-base,javap ay.javap.txt line 1353: key string within 22 lines before putfield
effect_,life,com/corrodinggames/rts/game/units/custom/ay,life,F,life,v0.9-base,javap ay.javap.txt line 1362: key string within 22 lines before putfield
effect_,lifeRandom,com/corrodinggames/rts/game/units/custom/ay,lifeRandom,F,lifeRandom,v0.9-base,javap ay.javap.txt line 1371: key string within 22 lines before putfield
effect_,showInFog,com/corrodinggames/rts/game/units/custom/ay,showInFog,Z,showInFog,v0.9-base,javap ay.javap.txt line 1380: key string within 22 lines before putfield
effect_,xOffsetRelative,com/corrodinggames/rts/game/units/custom/ay,xOffsetRelative,F,xOffsetRelative,v0.9-base,javap ay.javap.txt line 1389: key string within 22 lines before putfield
effect_,yOffsetRelative,com/corrodinggames/rts/game/units/custom/ay,yOffsetRelative,F,yOffsetRelative,v0.9-base,javap ay.javap.txt line 1398: key string within 22 lines before putfield
effect_,hOffset,com/corrodinggames/rts/game/units/custom/ay,hOffset,F,hOffset,v0.9-base,javap ay.javap.txt line 1407: key string within 22 lines before putfield
effect_,alwayStartDirAtZero,com/corrodinggames/rts/game/units/custom/ay,alwayStartDirAtZero,Z,alwayStartDirAtZero,v0.9-base,javap ay.javap.txt line 1417: key string within 22 lines before putfield
effect_,pivotOffset,com/corrodinggames/rts/game/units/custom/ay,pivotOffset,F,pivotOffset,v0.9-base,javap ay.javap.txt line 1426: key string within 22 lines before putfield
effect_,pivotOffsetRandom,com/corrodinggames/rts/game/units/custom/ay,pivotOffsetRandom,F,pivotOffsetRandom,v0.9-base,javap ay.javap.txt line 1435: key string within 22 lines before putfield
effect_,dirOffset,com/corrodinggames/rts/game/units/custom/ay,dirOffset,F,dirOffset,v0.9-base,javap ay.javap.txt line 1444: key string within 22 lines before putfield
effect_,xOffsetRelativeRandom,com/corrodinggames/rts/game/units/custom/ay,xOffsetRelativeRandom,F,xOffsetRelativeRandom,v0.9-base,javap ay.javap.txt line 1453: key string within 22 lines before putfield
effect_,yOffsetRelativeRandom,com/corrodinggames/rts/game/units/custom/ay,yOffsetRelativeRandom,F,yOffsetRelativeRandom,v0.9-base,javap ay.javap.txt line 1462: key string within 22 lines before putfield
effect_,hOffsetRandom,com/corrodinggames/rts/game/units/custom/ay,hOffsetRandom,F,hOffsetRandom,v0.9-base,javap ay.javap.txt line 1471: key string within 22 lines before putfield
effect_,dirOffsetRandom,com/corrodinggames/rts/game/units/custom/ay,dirOffsetRandom,F,dirOffsetRandom,v0.9-base,javap ay.javap.txt line 1480: key string within 22 lines before putfield
effect_,xOffsetAbsolute,com/corrodinggames/rts/game/units/custom/ay,xOffsetAbsolute,F,xOffsetAbsolute,v0.9-base,javap ay.javap.txt line 1489: key string within 22 lines before putfield
effect_,yOffsetAbsolute,com/corrodinggames/rts/game/units/custom/ay,yOffsetAbsolute,F,yOffsetAbsolute,v0.9-base,javap ay.javap.txt line 1498: key string within 22 lines before putfield
effect_,xOffsetAbsoluteRandom,com/corrodinggames/rts/game/units/custom/ay,xOffsetAbsoluteRandom,F,xOffsetAbsoluteRandom,v0.9-base,javap ay.javap.txt line 1507: key string within 22 lines before putfield
effect_,yOffsetAbsoluteRandom,com/corrodinggames/rts/game/units/custom/ay,yOffsetAbsoluteRandom,F,yOffsetAbsoluteRandom,v0.9-base,javap ay.javap.txt line 1516: key string within 22 lines before putfield
effect_,xSpeedRelative,com/corrodinggames/rts/game/units/custom/ay,xSpeedRelative,F,xSpeedRelative,v0.9-base,javap ay.javap.txt line 1525: key string within 22 lines before putfield
effect_,ySpeedRelative,com/corrodinggames/rts/game/units/custom/ay,ySpeedRelative,F,ySpeedRelative,v0.9-base,javap ay.javap.txt line 1534: key string within 22 lines before putfield
effect_,hSpeed,com/corrodinggames/rts/game/units/custom/ay,hSpeed,F,hSpeed,v0.9-base,javap ay.javap.txt line 1543: key string within 22 lines before putfield
effect_,dirSpeed,com/corrodinggames/rts/game/units/custom/ay,dirSpeed,F,dirSpeed,v0.9-base,javap ay.javap.txt line 1552: key string within 22 lines before putfield
effect_,xSpeedRelativeRandom,com/corrodinggames/rts/game/units/custom/ay,xSpeedRelativeRandom,F,xSpeedRelativeRandom,v0.9-base,javap ay.javap.txt line 1561: key string within 22 lines before putfield
effect_,ySpeedRelativeRandom,com/corrodinggames/rts/game/units/custom/ay,ySpeedRelativeRandom,F,ySpeedRelativeRandom,v0.9-base,javap ay.javap.txt line 1570: key string within 22 lines before putfield
effect_,hSpeedRandom,com/corrodinggames/rts/game/units/custom/ay,hSpeedRandom,F,hSpeedRandom,v0.9-base,javap ay.javap.txt line 1579: key string within 22 lines before putfield
effect_,dirSpeedRandom,com/corrodinggames/rts/game/units/custom/ay,dirSpeedRandom,F,dirSpeedRandom,v0.9-base,javap ay.javap.txt line 1588: key string within 22 lines before putfield
effect_,xSpeedAbsolute,com/corrodinggames/rts/game/units/custom/ay,xSpeedAbsolute,F,xSpeedAbsolute,v0.9-base,javap ay.javap.txt line 1597: key string within 22 lines before putfield
effect_,ySpeedAbsolute,com/corrodinggames/rts/game/units/custom/ay,ySpeedAbsolute,F,ySpeedAbsolute,v0.9-base,javap ay.javap.txt line 1606: key string within 22 lines before putfield
effect_,xSpeedAbsoluteRandom,com/corrodinggames/rts/game/units/custom/ay,xSpeedAbsoluteRandom,F,xSpeedAbsoluteRandom,v0.9-base,javap ay.javap.txt line 1615: key string within 22 lines before putfield
effect_,ySpeedAbsoluteRandom,com/corrodinggames/rts/game/units/custom/ay,ySpeedAbsoluteRandom,F,ySpeedAbsoluteRandom,v0.9-base,javap ay.javap.txt line 1624: key string within 22 lines before putfield
effect_,scaleTo,com/corrodinggames/rts/game/units/custom/ay,scaleTo,F,scaleTo,v0.9-base,javap ay.javap.txt line 1634: key string within 22 lines before putfield
effect_,scaleFrom,com/corrodinggames/rts/game/units/custom/ay,scaleFrom,F,scaleFrom,v0.9-base,javap ay.javap.txt line 1644: key string within 22 lines before putfield
effect_,alpha,com/corrodinggames/rts/game/units/custom/ay,alpha,F,alpha,v0.9-base,javap ay.javap.txt line 1654: key string within 22 lines before putfield
effect_,color,com/corrodinggames/rts/game/units/custom/ay,color,I,color,v0.9-base,javap ay.javap.txt line 1664: key string within 22 lines before putfield
effect_,teamColorRatio,com/corrodinggames/rts/game/units/custom/ay,teamColorRatio,F,teamColorRatio,v0.9-base,javap ay.javap.txt line 1691: key string within 22 lines before putfield
effect_,shadow,com/corrodinggames/rts/game/units/custom/ay,shadow,Z,shadow,v0.9-base,javap ay.javap.txt line 1725: key string within 22 lines before putfield
effect_,shadow,com/corrodinggames/rts/game/units/custom/ay,drawLayer,S,drawLayer,v0.22-final-asset-loader,javap ay.javap.txt line 1728: key string within 22 lines before putfield
effect_,drawUnderUnits,com/corrodinggames/rts/game/units/custom/ay,drawLayer,S,drawLayer,v0.22-final-asset-loader,javap ay.javap.txt line 1739: key string within 22 lines before putfield
effect_,displacement,com/corrodinggames/rts/game/units/custom/ay,drawLayer,S,drawLayer,v0.22-final-asset-loader,javap ay.javap.txt line 1759: key string within 22 lines before putfield
effect_,fadeInTime,com/corrodinggames/rts/game/units/custom/ay,fadeInTime,F,fadeInTime,v0.9-base,javap ay.javap.txt line 1781: key string within 22 lines before putfield
effect_,fadeOut,com/corrodinggames/rts/game/units/custom/ay,fadeOut,Z,fadeOut,v0.9-base,javap ay.javap.txt line 1790: key string within 22 lines before putfield
effect_,delayedStartTimer,com/corrodinggames/rts/game/units/custom/ay,delayedStartTimer,F,delayedStartTimer,v0.9-base,javap ay.javap.txt line 1799: key string within 22 lines before putfield
effect_,delayedStartTimerRandom,com/corrodinggames/rts/game/units/custom/ay,delayedStartTimerRandom,F,delayedStartTimerRandom,v0.9-base,javap ay.javap.txt line 1808: key string within 22 lines before putfield
effect_,frameIndex,com/corrodinggames/rts/game/units/custom/ay,frameIndex,I,frameIndex,v0.9-base,javap ay.javap.txt line 1817: key string within 22 lines before putfield
effect_,frameIndexRandom,com/corrodinggames/rts/game/units/custom/ay,frameIndexRandom,I,frameIndexRandom,v0.9-base,javap ay.javap.txt line 1826: key string within 22 lines before putfield
effect_,stripIndex,com/corrodinggames/rts/game/units/custom/ay,stripIndex,I,stripIndex,v0.9-base,javap ay.javap.txt line 1838: key string within 22 lines before putfield
effect_,attachedToUnit,com/corrodinggames/rts/game/units/custom/ay,attachedToUnit,Z,attachedToUnit,v0.9-base,javap ay.javap.txt line 1863: key string within 22 lines before putfield
effect_,liveAfterAttachedDies,com/corrodinggames/rts/game/units/custom/ay,liveAfterAttachedDies,Z,liveAfterAttachedDies,v0.9-base,javap ay.javap.txt line 1872: key string within 22 lines before putfield
effect_,atmospheric,com/corrodinggames/rts/game/units/custom/ay,atmospheric,Z,atmospheric,v0.9-base,javap ay.javap.txt line 1881: key string within 22 lines before putfield
effect_,physics,com/corrodinggames/rts/game/units/custom/ay,physics,Z,physics,v0.9-base,javap ay.javap.txt line 1890: key string within 22 lines before putfield
effect_,physicsGravity,com/corrodinggames/rts/game/units/custom/ay,physicsGravity,F,physicsGravity,v0.9-base,javap ay.javap.txt line 1899: key string within 22 lines before putfield
effect_,priority,com/corrodinggames/rts/game/units/custom/ay,priority,Lcom/corrodinggames/rts/gameFramework/d/h;,priority,v0.9-base,javap ay.javap.txt line 1911: key string within 22 lines before putfield
effect_,image,com/corrodinggames/rts/game/units/custom/ay,imageStrip,Lcom/corrodinggames/rts/gameFramework/d/g;,imageStrip,v0.22-final-asset-loader,javap ay.javap.txt line 1963: key string within 22 lines before putfield
effect_,imageShadow,com/corrodinggames/rts/game/units/custom/ay,shadow,Z,shadow,v0.9-base,javap ay.javap.txt line 2094: key string within 22 lines before putfield
effect_,animateFrameStart,com/corrodinggames/rts/game/units/custom/ay,animateFrameStart,I,animateFrameStart,v0.9-base,javap ay.javap.txt line 2115: key string within 22 lines before putfield
effect_,animateFrameStartRandomAdd,com/corrodinggames/rts/game/units/custom/ay,animateFrameStartRandomAdd,I,animateFrameStartRandomAdd,v0.9-base,javap ay.javap.txt line 2124: key string within 22 lines before putfield
effect_,animateFrameEnd,com/corrodinggames/rts/game/units/custom/ay,animateFrameEnd,I,animateFrameEnd,v0.9-base,javap ay.javap.txt line 2133: key string within 22 lines before putfield
effect_,animateFramePingPong,com/corrodinggames/rts/game/units/custom/ay,animateFramePingPong,Z,animateFramePingPong,v0.9-base,javap ay.javap.txt line 2142: key string within 22 lines before putfield
effect_,animateFrameLooping,com/corrodinggames/rts/game/units/custom/ay,animateFrameLooping,Z,animateFrameLooping,v0.9-base,javap ay.javap.txt line 2151: key string within 22 lines before putfield
effect_,animateFrameSpeed,com/corrodinggames/rts/game/units/custom/ay,animateFrameSpeed,F,animateFrameSpeed,v0.9-base,javap ay.javap.txt line 2160: key string within 22 lines before putfield
effect_,animateFrameSpeedRandom,com/corrodinggames/rts/game/units/custom/ay,animateFrameSpeedRandom,F,animateFrameSpeedRandom,v0.9-base,javap ay.javap.txt line 2169: key string within 22 lines before putfield
effect_,alsoEmitEffects,com/corrodinggames/rts/game/units/custom/ay,alsoEmitEffects,Lcom/corrodinggames/rts/game/units/custom/z;,alsoEmitEffects,v0.9-base,javap ay.javap.txt line 2215: key string within 22 lines before putfield
effect_,alsoEmitEffectsOnDeath,com/corrodinggames/rts/game/units/custom/ay,alsoEmitEffectsOnDeath,Lcom/corrodinggames/rts/game/units/custom/z;,alsoEmitEffectsOnDeath,v0.9-base,javap ay.javap.txt line 2224: key string within 22 lines before putfield
effect_,trailEffect,com/corrodinggames/rts/game/units/custom/ay,trailEffect,Lcom/corrodinggames/rts/game/units/custom/z;,trailEffect,v0.9-base,javap ay.javap.txt line 2233: key string within 22 lines before putfield
effect_,trailEffectRate,com/corrodinggames/rts/game/units/custom/ay,trailEffectRate,F,trailEffectRate,v0.9-base,javap ay.javap.txt line 2242: key string within 22 lines before putfield
effect_,ifSpawnFailsEmitEffects,com/corrodinggames/rts/game/units/custom/ay,ifSpawnFailsEmitEffects,Lcom/corrodinggames/rts/game/units/custom/z;,ifSpawnFailsEmitEffects,v0.9-base,javap ay.javap.txt line 2251: key string within 22 lines before putfield
effect_,alsoPlaySound,com/corrodinggames/rts/game/units/custom/ay,alsoPlaySound,Lcom/corrodinggames/rts/game/units/custom/bl;,alsoPlaySound,v0.9-base,javap ay.javap.txt line 2261: key string within 22 lines before putfield
