kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change_type
method,com/corrodinggames/rts/game/units/h/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_h_c_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/h/d,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_ScoutShipUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/h/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_AttackSubmarineUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/x,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_SpecialAirUnitBase_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_OrderableUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;I)V,b,method_CustomUnit_triggerTurretWarmupStartEffect,triggerTurretWarmupStartEffect,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Called when warmup progress starts from zero; CustomUnit implementation plays TurretTemplate.warmupStartEffect.,added
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;I)V,b,method_OrderableUnit_triggerTurretWarmupStartEffect,triggerTurretWarmupStartEffect,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Called when warmup progress starts from zero; CustomUnit implementation plays TurretTemplate.warmupStartEffect.,added
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;FI)V,a,method_CustomUnit_spawnAttackerMuzzleDustEffect,spawnAttackerMuzzleDustEffect,v0.35-runtime-fire-family,runtime-combat-fire-family,medium-high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Existing y mapping propagated to CustomUnit override; periodic attacker/muzzle-side firing visual hook.,added
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;FI)V,b,method_CustomUnit_spawnTargetImpactDustEffect,spawnTargetImpactDustEffect,v0.35-runtime-fire-family,runtime-combat-fire-family,medium-high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Existing y mapping propagated to CustomUnit override; periodic target-side firing visual hook.,added
method,com/corrodinggames/rts/game/units/b/a,(I)F,b,method_Obf_b_a_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/b/c,(I)F,b,method_AmphibiousJetUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/b/d,(I)F,b,method_Obf_b_d_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/b/e,(I)F,b,method_Obf_b_e_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/b/f,(I)F,b,method_HelicopterUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/c/a,(I)F,b,method_Obf_c_a_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)F,b,method_CustomUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/a/a,(I)F,b,method_Obf_d_a_a_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/a/b,(I)F,b,method_Obf_d_a_b_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/e,(I)F,b,method_Obf_d_e_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/g,(I)F,b,method_Obf_d_g_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/i,(I)F,b,method_Obf_d_i_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/d/r,(I)F,b,method_Obf_d_r_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e,(I)F,b,method_CrystalResourceUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/a,(I)F,b,method_Obf_e_a_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/b,(I)F,b,method_Obf_e_b_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/c,(I)F,b,method_Obf_e_c_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/d,(I)F,b,method_Obf_e_d_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/e,(I)F,b,method_Obf_e_e_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/f,(I)F,b,method_Obf_e_f_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/g,(I)F,b,method_Obf_e_g_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/i,(I)F,b,method_Obf_e_i_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/k,(I)F,b,method_Obf_e_k_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/l,(I)F,b,method_Obf_e_l_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/m,(I)F,b,method_Obf_e_m_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/n,(I)F,b,method_Obf_e_n_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/e/o,(I)F,b,method_Obf_e_o_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/g,(I)F,b,method_Obf_g_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h,(I)F,b,method_Obf_h_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h/a,(I)F,b,method_Obf_h_a_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h/b,(I)F,b,method_Obf_h_b_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h/c,(I)F,b,method_Obf_h_c_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h/d,(I)F,b,method_ScoutShipUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/h/e,(I)F,b,method_AttackSubmarineUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/x,(I)F,b,method_SpecialAirUnitBase_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/y,(I)F,b,method_OrderableUnit_getTurretFireDelay,getTurretFireDelay,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns base shoot delay/reload duration; CustomUnit uses TurretTemplate.delay scaled by mutable unit stats.,added
method,com/corrodinggames/rts/game/units/b/c,(I)F,e,method_AmphibiousJetUnit_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)F,e,method_CustomUnit_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/d/a/a,(I)F,e,method_Obf_d_a_a_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/e/b,(I)F,e,method_Obf_e_b_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/e/c,(I)F,e,method_Obf_e_c_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/e/d,(I)F,e,method_Obf_e_d_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/e/k,(I)F,e,method_Obf_e_k_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/e/l,(I)F,e,method_Obf_e_l_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/g,(I)F,e,method_Obf_g_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/h,(I)F,e,method_Obf_h_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/h/a,(I)F,e,method_Obf_h_a_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/h/b,(I)F,e,method_Obf_h_b_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/h/e,(I)F,e,method_AttackSubmarineUnit_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/x,(I)F,e,method_SpecialAirUnitBase_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/y,(I)F,e,method_OrderableUnit_getTurretWarmupTime,getTurretWarmupTime,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmup duration; CustomUnit uses TurretTemplate.warmup.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)Z,s,method_CustomUnit_isTurretWarmupNoReset,isTurretWarmupNoReset,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmupNoReset flag; used by tryFireTurretAtTarget to accumulate warmup independently from reload.,added
method,com/corrodinggames/rts/game/units/y,(I)Z,s,method_OrderableUnit_isTurretWarmupNoReset,isTurretWarmupNoReset,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmupNoReset flag; used by tryFireTurretAtTarget to accumulate warmup independently from reload.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)F,t,method_CustomUnit_getTurretWarmupShootDelayTransfer,getTurretWarmupShootDelayTransfer,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmupShootDelayTransfer-derived reload adjustment after warmup completes.,added
method,com/corrodinggames/rts/game/units/y,(I)F,t,method_OrderableUnit_getTurretWarmupShootDelayTransfer,getTurretWarmupShootDelayTransfer,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns warmupShootDelayTransfer-derived reload adjustment after warmup completes.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)Z,r,method_CustomUnit_canTurretFire,canTurretFire,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.,added
method,com/corrodinggames/rts/game/units/d/a/a,(I)Z,r,method_Obf_d_a_a_canTurretFire,canTurretFire,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.,added
method,com/corrodinggames/rts/game/units/y,(I)Z,r,method_OrderableUnit_canTurretFire,canTurretFire,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Boolean per-turret fire enabled check; CustomUnit returns TurretTemplate.canAttack.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)I,v,method_CustomUnit_getLinkedDelayTurretIndex,getLinkedDelayTurretIndex,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.,added
method,com/corrodinggames/rts/game/units/d/a/a,(I)I,v,method_Obf_d_a_a_getLinkedDelayTurretIndex,getLinkedDelayTurretIndex,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.,added
method,com/corrodinggames/rts/game/units/y,(I)I,v,method_OrderableUnit_getLinkedDelayTurretIndex,getLinkedDelayTurretIndex,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns linkedDelayWithTurretIndex; tryFireTurretAtTarget copies linked turret angle/reload state.,added
method,com/corrodinggames/rts/game/units/b/c,(I)F,q,method_AmphibiousJetUnit_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/b/e,(I)F,q,method_Obf_b_e_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/custom/j,(I)F,q,method_CustomUnit_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/d/a/b,(I)F,q,method_Obf_d_a_b_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/d/e,(I)F,q,method_Obf_d_e_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/e/c,(I)F,q,method_Obf_e_c_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/e/e,(I)F,q,method_Obf_e_e_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/e/f,(I)F,q,method_Obf_e_f_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
method,com/corrodinggames/rts/game/units/e/g,(I)F,q,method_Obf_e_g_getTurretProjectileDirectDamage,getTurretProjectileDirectDamage,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Returns projectile direct damage for turret; vanilla implementations assign it into Projectile.directDamage.,added
